Province name,"Candidate names, President and Vice President",Number of valid votes for each candidate pair
Aceh,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1840145.0
Bali,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1454640.0
Banten,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,4035052.0
Bengkulu,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,893499.0
D.I.Yogyakarta,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1269265.0
DKI Jakarta,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2692011.0
Gorontalo,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,504662.0
Jambi,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1438952.0
Jawa Barat,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,16805854.0
Jawa Tengah,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,12096454.0
Jawa Timur,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,14925859.0
KEP.Bangka Belitung,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,529883.0
KEP.Riau,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,641388.0
Kalimantan Barat,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1964183.0
Kalimantan Selatan,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1407684.0
Kalimantan Tengah,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1097070.0
Kalimantan Timur,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1542346.0
Kalimantan Utara,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,284209.0
Lampung,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,3554310.0
Maluku,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,665371.0
Maluku Utara,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,454943.0
Nusa Tenggara Barat,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2154843.0
Nusa Tenggara Timur,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1276926.0
Papua,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,378908.0
Papua Barat,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,172965.0
Papua Barat Daya,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,209403.0
Papua Selatan,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,162852.0
Riau,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1931113.0
Sulawesi Barat,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,533757.0
Sulawesi Selatan,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1878351.0
Sulawesi Tengah,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1251313.0
Sulawesi Tenggara,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1113344.0
Sulawesi Utara,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,1229069.0
Sumatera Barat,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1744042.0
Sumatera Selatan,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,3649651.0
Sumatera Utara,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,4660408.0
