year,province,valid_votes,name,cand_number,cand_votes
2014,Aceh,2240124,Adnan N.S.,1,75821
2014,Aceh,2240124,"Dr. Ahmad Farhan Hamid, M.S.",2,114010
2014,Aceh,2240124,"Drs. H. Anharuddin, S.E., M.M.",3,45415
2014,Aceh,2240124,Anwar,4,27525
2014,Aceh,2240124,"H. Asy’ari, S.Pd.I.",5,87750
2014,Aceh,2240124,"Drs. Azhari Usman, M.SI.",6,89360
2014,Aceh,2240124,Dasleliaty,7,30631
2014,Aceh,2240124,"Erdarina, S.P. ",8,52946
2014,Aceh,2240124,"Fachrul Razi, M.I.P. ",9,345915
2014,Aceh,2240124,"H. Fachrurrazi, S.E. ",10,42841
2014,Aceh,2240124,Fauzan Azima S,11,38502
2014,Aceh,2240124,Fazlun Hasan,12,79916
2014,Aceh,2240124,Drs. H. Ghazali Abbas Adan,13,144505
2014,Aceh,2240124,Herianto,14,40952
2014,Aceh,2240124,Drs. Ibrahim Saleh,15,24242
2014,Aceh,2240124,"Idham, S.P. ",16,29361
2014,Aceh,2240124,"Irsalina Huzna Azwir, S.Ked",17,41598
2014,Aceh,2240124,Drs. H. M. Yusuf Ishaq,18,38688
2014,Aceh,2240124,"Dra. Hj. Mediati Hafni Hanum, SH., M,Kn.",19,42628
2014,Aceh,2240124,"Muhammad Yusuf, S.E. ",20,25442
2014,Aceh,2240124,"Mukhtar, S.E. ",21,8154
2014,Aceh,2240124,Mursyid,22,83857
2014,Aceh,2240124,"Muslim, S.E. ",23,13998
2014,Aceh,2240124,"Nazir Adam, S.E., M.M. ",24,103928
2014,Aceh,2240124,Rafli,25,134509
2014,Aceh,2240124,"Saifuddin Gani, S.H. ",26,11320
2014,Aceh,2240124,Sudirman,27,136964
2014,Aceh,2240124,"Suparno, S.T.P. ",28,31030
2014,Aceh,2240124,"Syamsuddin A Jalil, S.H. ",29,21433
2014,Aceh,2240124,H.T. Bachrum Manyak,30,43539
2014,Aceh,2240124,"Ir. H.T. Suriansyah, M.Si.",31,13813
2014,Aceh,2240124,"Tarmilin Usman, SE, M.Si. ",32,18281
2014,Aceh,2240124,"Teuku Eddy Faisal Rusydi, S.H.I., M.Sc. ",33,18190
2014,Aceh,2240124,"Teuku Kamaruzzman, S.H. ",34,44283
2014,Aceh,2240124,H. Teuku Mukhtar Anshari Z.A,35,19161
2014,Aceh,2240124,TGK. T. Abdul Muthalib,36,29354
2014,Aceh,2240124,TGK. H. Abdurrahman B.T.M,37,30091
2014,Aceh,2240124,TGK. H. Rasyidin Abdullah,38,28443
2014,Aceh,2240124,"Ir. TGK. H. Subki El Madny, M.T. ",39,12918
2014,Aceh,2240124,H. Waisul Qarany Aly,40,18810
2014,Bali,1941861,"A.A. NGR Oka Ratmadi, S.H. ",1,150288
2014,Bali,1941861,AA. Putu Ngurah Wirawan,2,48850
2014,Bali,1941861,Ir. Anak Agung Kartika Putra,3,20163
2014,Bali,1941861,"Dewa Ayu PT. Sri Wigunawati, S.Sos., S.H., M.Si ",4,80288
2014,Bali,1941861,"Drs. DEWA MADE SUAMBA NEGARA, M.Si.",5,52145
2014,Bali,1941861,Dewa Putu Budarsa,6,34237
2014,Bali,1941861,Drs. Erlangga Mantik,7,68088
2014,Bali,1941861,"Gede Pasek Suardika, S.H., M.H. ",8,132887
2014,Bali,1941861,"I.G.N. Kesuma Kelakan, S.T., M.Si ",9,124446
2014,Bali,1941861,"I Gede Dharma Wijaya, S.E., M.M., M.Kes. ",10,48714
2014,Bali,1941861,"Drg. I Gede Putu Wirya, M.Kes",11,27555
2014,Bali,1941861,"",12,27555
2014,Bali,1941861,"I Gusti Ketut Adi Kertiyasa, S.H. ",13,56042
2014,Bali,1941861,I Gusti Ngurah Susila,14,11265
2014,Bali,1941861,I Kadek Arimbawa,15,161607
2014,Bali,1941861,I Ketut Pesta,16,11877
2014,Bali,1941861,"Drs. I Ketut Putra Suarthana, M.M. ",17,16103
2014,Bali,1941861,"I Made Arimbawa, S.H., M.M. ",18,20121
2014,Bali,1941861,"I Made Arjaya, S.E., M.Si",19,86215
2014,Bali,1941861,Ir. Made Dana M. Tangkas,20,33996
2014,Bali,1941861,"Drs. I Made Karang, M.Pd.",21,12267
2014,Bali,1941861,Ir. I Made Suarnatha,22,34049
2014,Bali,1941861,"I Made Sudiana, S.H. ",23,34049
2014,Bali,1941861,"I Made Sunarsa, S.E. ",24,6883
2014,Bali,1941861,"I Made Sundayana, S.Kep., M.Si. ",25,33868
2014,Bali,1941861,I Made Wakil Sendana,26,3920
2014,Bali,1941861,"Drs. I Nengah Parawatha, S.H., M.Si ",27,16477
2014,Bali,1941861,"I Nengah Wiratha, S.E.",28,69725
2014,Bali,1941861,"Drs. I Nyoman Cendikiawan, S.H., M.Si. ",29,39049
2014,Bali,1941861,"I Wayan Arthadipa, S.H., M.H. ",30,34484
2014,Bali,1941861,"I Wayan Gede Suyatartha, S.E., M.B.A. ",31,11903
2014,Bali,1941861,"I Wayan Sudirta, S.H. ",32,95209
2014,Bali,1941861,"I Wayan Sukla Arnata, S.H., M.H. ",33,24809
2014,Bali,1941861,"Ida Bagus Putra D. Mantra, Ph.D. ",34,8374
2014,Bali,1941861,Drs. Ida Bagus Arnawa,35,6589
2014,Bali,1941861,"Ida Bagus Putu Astina, S.H. ",36,26279
2014,Bali,1941861,Ida Bagus Raka Wiryanatha,37,4795
2014,Bali,1941861,"Drs. H. Masrur Makmur, M.Pd.I. ",38,83513
2014,Bali,1941861,"Putu Arsana Atmaja, S.T. ",39,23531
2014,Bali,1941861,Ir. Rataya B Kentjanawathy,40,19524
2014,Bali,1941861,Dr. Shri I G.N. Arya Wedakarna M. Wedasteraputra S.,41,178934
2014,Bangka Belitung,566772,Drs. H. A. Hudarni Rani,1,85877
2014,Bangka Belitung,566772,"Ir. Agung Setiawan, M.M.",2,28193
2014,Bangka Belitung,566772,"Bahar Buasan, S.T. ",3,36045
2014,Bangka Belitung,566772,"Ir. H. Ernawan Rebuin, M.M. ",4,21162
2014,Bangka Belitung,566772,"Fadjar Fairy, S.H. ",5,28240
2014,Bangka Belitung,566772,"Herry Erfian, S.T. ",6,63318
2014,Bangka Belitung,566772,Ir. H. Iwansyah,7,18212
2014,Bangka Belitung,566772,"H. Jawarno, S.I.P. ",8,19885
2014,Bangka Belitung,566772,H. Muhammad Sulahudin,9,24277
2014,Bangka Belitung,566772,Dra. Hj. Nurlaela,10,26166
2014,Bangka Belitung,566772,"Drs. H. Parhan Ali, M.M. ",11,30349
2014,Bangka Belitung,566772,"H. Patris Lumumba, S.H. ",12,8618
2014,Bangka Belitung,566772,"Ir. R. Rudy Irawan, M.M. ",13,19723
2014,Bangka Belitung,566772,Sofian Romli,14,7347
2014,Bangka Belitung,566772,"H. Syamsuddin Basari, S.Sos., M.Si. ",15,16962
2014,Bangka Belitung,566772,"Tellie Gozelie, S.E. ",16,51552
2014,Bangka Belitung,566772,"",17,51552
2014,Bangka Belitung,566772,Zubaidah,18,14286
2014,Bangka Belitung,566772,"Zulfriandi Afan, S.E. ",19,6811
2014,Bangka Belitung,566772,"Ir. H. Zulkarnaen Syamsudin, M.M., B.A. ",20,9909
2014,Bangka Belitung,566772,"Drs. H. Zulkarnain Karim, M.M. ",21,49840
2014,Banten,4157163,"Drs. H. Abdurachman, M.A.P. ",1,261603
2014,Banten,4157163,Dr. H. Achmad Rusdi Arief,2,261603
2014,Banten,4157163,"H. Ahmad Imron, S.E. ",3,202832
2014,Banten,4157163,"K.H. Ahmad Sadeli Karim, L.C. ",4,434799
2014,Banten,4157163,H. Ahmad Subadri,5,461496
2014,Banten,4157163,Drs. H. Akhmad Haris,6,106571
2014,Banten,4157163,Andiara Aprilia Hikmat,7,904421
2014,Banten,4157163,"Dr. Andriansyah, M.Si.",8,182770
2014,Banten,4157163,"Dr. Gidion S. Hutagalung, S.H., S.Th., M.A. ",9,110536
2014,Banten,4157163,"H. Gondo Radityo Gambiro, M.B.A. ",10,75209
2014,Banten,4157163,"Gousta Feriza, S.H., M.H. ",11,108712
2014,Banten,4157163,Drs. Habib Ali Alwi,12,396933
2014,Banten,4157163,"Hj. Hanif Sobari, M.Si",13,50954
2014,Banten,4157163,"Hasan  Nuryadi, S.E., M.Ec. ",14,30052
2014,Banten,4157163,"Hj. Himmatul Aliyah, S.Sos., M.Si. ",15,208296
2014,Banten,4157163,Iwan Kurniawan,16,31340
2014,Banten,4157163,"H. Iyus Priatna, S.Sos. ",17,43935
2014,Banten,4157163,"H. M. Irsjad Djuwaeli, S.P., M.M. ",18,117459
2014,Banten,4157163,M. Nurdin R,19,117459
2014,Banten,4157163,"Moh. Jembar, M.Si. ",20,30745
2014,Banten,4157163,H. Mushin,21,28488
2014,Banten,4157163,H. Muhtar Imi,22,33168
2014,Banten,4157163,"H. Odjat Sukardjat, S.H.I., M.B.A. ",23,68632
2014,Banten,4157163,"H. Rosyid Haerudi, S.P., M.M. ",24,60899
2014,Banten,4157163,H. Tb. Lucky Kaking,25,61533
2014,Banten,4157163,"Ir. Togu Pardamean Tobing, M.Si. ",26,107953
2014,Bengkulu,895608,"Ir. Ahmad Hamim Wicaksono, M.Sc. ",1,38912
2014,Bengkulu,895608,"H. Ahmad Kanedi, S.H., M.H. ",2,150074
2014,Bengkulu,895608,Ir. Babulhairien A.B,3,26120
2014,Bengkulu,895608,Dipi-ing. H. Bambang Soeroso,4,63561
2014,Bengkulu,895608,"Cupli Risman, S.Sos",5,23938
2014,Bengkulu,895608,"Dinmar, S.Kom. ",6,64460
2014,Bengkulu,895608,Djatmiko,7,16968
2014,Bengkulu,895608,"Dra. Hj. Eni Khairani, M.Si. ",8,108521
2014,Bengkulu,895608,Eri Yanto,9,19364
2014,Bengkulu,895608,"Iqbal Bastari, S.Pd. ",10,42904
2014,Bengkulu,895608,"H. Mohammad Saleh, S.E. ",11,74275
2014,Bengkulu,895608,Muhammad Kosim,12,18666
2014,Bengkulu,895608,"Muspani, S.H. ",13,37319
2014,Bengkulu,895608,"Radianto Star, S.T. ",14,5676
2014,Bengkulu,895608,"Dr. Rahimullah, S.H., M.Si. ",15,18919
2014,Bengkulu,895608,Riri Damayanti,16,87541
2014,Bengkulu,895608,"Dr. Ir. H. Ruslan Wijaya, S.E., M.A.P. ",17,30960
2014,Bengkulu,895608,"Drs. H. Salamun Haris M, M.Si ",18,29479
2014,Bengkulu,895608,H. Syaiful Anwar Bachsin,19,3508
2014,Bengkulu,895608,"Yuan Rasugi Sang, S.Sos., M.H. ",20,34443
2014,DI. Yogyakarta,2011482,"Drs. H. A. Hafidh Asrom, M.M. ",1,158794
2014,DI. Yogyakarta,2011482,"H. A. Taufiqurrohman, S.Ag. ",2,53714
2014,DI. Yogyakarta,2011482,H. Abdul Muhaimin,3,48885
2014,DI. Yogyakarta,2011482,"Bambang Eko Prabowo, B.Sc., S.I.P. ",4,92867
2014,DI. Yogyakarta,2011482,"Ir. H. Cholid Mahmud, M.T. ",5,149824
2014,DI. Yogyakarta,2011482,H. Fairuz Ahmad,6,60842
2014,DI. Yogyakarta,2011482,"R. Fidelis Indriarto, S.SI., M.M. ",7,77065
2014,DI. Yogyakarta,2011482,Gusti Kanjeng Ratu Hemas,8,1017687
2014,DI. Yogyakarta,2011482,"Ismarindayani, S.H., M.H., CN. ",9,89009
2014,DI. Yogyakarta,2011482,"Kombes. Pol (Purn). Muhammad Hirsam, S.H., M.Si. ",10,21274
2014,DI. Yogyakarta,2011482,Muhammad Afnan Hadikusumo,11,144820
2014,DI. Yogyakarta,2011482,"Drs. Sidarto Danusubroto, S.H. ",12,79845
2014,DI. Yogyakarta,2011482,"H. Suratman, S.H., M.H. ",13,16856
2014,DKI Jakarta,4052141,"A. Syamsul Zakaria, S.H., M.H.",1,102218
2014,DKI Jakarta,4052141,Dr. (HC.) A.M. Fatwa,2,475601
2014,DKI Jakarta,4052141,Abdi Sumaithi,3,144355
2014,DKI Jakarta,4052141,"Abdul Azis Khafia, S.SI., M.Si.",4,368397
2014,DKI Jakarta,4052141,Ardi Putra Baramuli,5,114580
2014,DKI Jakarta,4052141,Prof. Dr. Dailami Firdaus,6,416929
2014,DKI Jakarta,4052141,Dasril,7,79795
2014,DKI Jakarta,4052141,"dr. Eddi Junaidi, Sp.OG., S.H., M. Kes. ",8,86382
2014,DKI Jakarta,4052141,"Drs. Eddy Sadeli, S.H. ",9,155791
2014,DKI Jakarta,4052141,F.X. Oerip Soedjoed,10,87900
2014,DKI Jakarta,4052141,"Fahira Idris, S.E. ",11,511323
2014,DKI Jakarta,4052141,Heru Cokro,12,16734
2014,DKI Jakarta,4052141,"Dr.Ir. Heru J. Juwono, M.T.",13,87462
2014,DKI Jakarta,4052141,"Ivan Rinaldi, S.E., M.M. ",14,26031
2014,DKI Jakarta,4052141,"KH. Lutfi Hakim, M.A. ",15,231087
2014,DKI Jakarta,4052141,M. Rifqy,16,82409
2014,DKI Jakarta,4052141,"drg. Moestar Putrajaya, M.H. ",17,16453
2014,DKI Jakarta,4052141,Drs. Mohammad Sjohirin. M.Si,18,36316
2014,DKI Jakarta,4052141,"Drs. H. Mohammad Joesoef, S.E., M.Si. ",19,119227
2014,DKI Jakarta,4052141,Mutiati Sejahtera,20,59817
2014,DKI Jakarta,4052141,"H. Pardi, S.H. ",21,22808
2014,DKI Jakarta,4052141,Parni Hardi,22,41681
2014,DKI Jakarta,4052141,Ramdansyah,23,29619
2014,DKI Jakarta,4052141,"Rekson Silaban, S.E. ",24,43218
2014,DKI Jakarta,4052141,H. Rizki Aljupri,25,67762
2014,DKI Jakarta,4052141,Rommy,26,70429
2014,DKI Jakarta,4052141,Rudy Hamid,27,8316
2014,DKI Jakarta,4052141,Sabam Sirait,28,237273
2014,DKI Jakarta,4052141,"Santo Dewatmoko, S.T., M.M., M.A.",29,10785
2014,DKI Jakarta,4052141,"H. Sayogo Hendrosubroto, S.I.P. ",30,17415
2014,DKI Jakarta,4052141,Drs. Sergius Kelang,31,18502
2014,DKI Jakarta,4052141,"Usmar, S.E., M.M. ",32,8215
2014,DKI Jakarta,4052141,Vivi Effendy,33,204897
2014,DKI Jakarta,4052141,Wahyu Raharjo,34,34667
2014,DKI Jakarta,4052141,"H. Zuhdi Mamduhi, S.E. ",35,17747
2014,Gorontalo,634401,Drs. A.D. Khaly,1,26659
2014,Gorontalo,634401,"Dr. ABD. Razak Mozin, S.Ag., M.Si",2,16352
2014,Gorontalo,634401,"H. Abdurrahman Abubakar Bahmid, Lc. ",3,42152
2014,Gorontalo,634401,"Adzhar Pakaya, S.I.P, ",4,11614
2014,Gorontalo,634401,Burhan Mantulangi,5,9690
2014,Gorontalo,634401,Hj. Carolina Kaluku,6,26540
2014,Gorontalo,634401,"",7,26540
2014,Gorontalo,634401,"Dewi Sartika Hemeto, S.E. ",8,28206
2014,Gorontalo,634401,Ir. Ethon Parman,9,20024
2014,Gorontalo,634401,Hana Hasanah Vadel Muhammad,10,185079
2014,Gorontalo,634401,"Hasan Abdullah, S.E. ",11,11597
2014,Gorontalo,634401,Herman D. Ishak,12,9529
2014,Gorontalo,634401,Mohammad Taufik Dalu,13,5144
2014,Gorontalo,634401,"Hi. Nizam Dai, S.I.Pem",14,20410
2014,Gorontalo,634401,"Nur Hasan, S.E. ",15,14039
2014,Gorontalo,634401,Hj. Rahmijati Jahja,16,179789
2014,Gorontalo,634401,"Drs. Syarief Sabara, M.Si. ",17,4083
2014,Gorontalo,634401,"Umar Karim, S.I.P. ",18,23494
2014,Jambi,1565791,H. Abu Bakar Jamalia,1,93605
2014,Jambi,1565791,"Andi Yusman, S.E",2,62990
2014,Jambi,1565791,"Anggi Purnama Harahap, S.H",3,60403
2014,Jambi,1565791,"Drs. H. Asra H.D, M.Pd.I",4,31110
2014,Jambi,1565791,"Azman, S.H",5,34304
2014,Jambi,1565791,Azwan Herwanto,6,44494
2014,Jambi,1565791,Benny Pratama Sofwan,7,63758
2014,Jambi,1565791,"Hj. Daryati Uteng S, S.E., M.M ",8,127376
2014,Jambi,1565791,Halilintar,9,35886
2014,Jambi,1565791,"Hasbi Anshory, S.E., M.M",10,64597
2014,Jambi,1565791,"IIn Inawati, S.Pd",11,40983
2014,Jambi,1565791,"H. Indra Armendaris, S.H",12,17470
2014,Jambi,1565791,Dra. Irina Safitri,13,20231
2014,Jambi,1565791,"H. Irsal Yunus, S.E., M.M",14,68359
2014,Jambi,1565791,Jefri Hendrik,15,19790
2014,Jambi,1565791,Joni Ahyar,16,7007
2014,Jambi,1565791,Dra. Hj. Juniwati T. Masjchun S,17,94841
2014,Jambi,1565791,"Ir. Kamil Rusdi, M.Si",18,18136
2014,Jambi,1565791,"Kemas Alfarizi Arsyad, S.E ",19,28819
2014,Jambi,1565791,"Linda Astuty, S.E., M.M",20,82463
2014,Jambi,1565791,"M. Syukur, S.H",21,235943
2014,Jambi,1565791,"Mohd. Syarief Gamal, S.H., MH",22,17345
2014,Jambi,1565791,"Mohon Indrajaya, S.H",23,4206
2014,Jambi,1565791,"Muhammad Yasir Arafat, S.E",24,25772
2014,Jambi,1565791,"H. Nuzran Joher, S.Ag., M.Si",25,68276
2014,Jambi,1565791,"Sukarno, S.H",26,15089
2014,Jambi,1565791,"H. Suryadi, S.Ag.",27,29831
2014,Jambi,1565791,Syahri,28,4899
2014,Jambi,1565791,"Untung Susanto, S.Pd",29,30009
2014,Jambi,1565791,"Yatno, S.P",30,16449
2014,Jambi,1565791,Yopi Muthalib,31,67798
2014,Jambi,1565791,Drs. Zulkarnain Al-Fath,32,27552
