Year,Province,District Name,Election,Party Number,Party Name,NOMOR.URUT,Candidate Name,"Candidate Gender L=Male, P=Female",District Number,Party,Candidate name,Candidate list position
2019,ACEH,ACEH I,DPR,1,PKB,1,"H. IRMAWAN, S.Sos, MM",L,,,,
2019,ACEH,ACEH I,DPR,1,PKB,2,SAYED MUSTAFA USAB AL IDROES,L,,,,
2019,ACEH,ACEH I,DPR,1,PKB,3,MAHDALENA,P,,,,
2019,ACEH,ACEH I,DPR,1,PKB,4,T. NASRUDDIN,L,,,,
2019,ACEH,ACEH I,DPR,1,PKB,5,KHAIRULLAH,L,,,,
2019,ACEH,ACEH I,DPR,1,PKB,6,"IDAWATI, S.E",P,,,,
2019,ACEH,ACEH I,DPR,1,PKB,7,"SUHARNI BUSTAMI, S.Pd",P,,,,
2019,ACEH,ACEH I,DPR,2,Gerindra,1,"FADHLULLAH, SE",L,,,,
2019,ACEH,ACEH I,DPR,2,Gerindra,2,"Dr. ASFIFUDDIN, SH, MH",L,,,,
2019,ACEH,ACEH I,DPR,2,Gerindra,3,Dra. Hj. ZULHAFAH,P,,,,
2019,ACEH,ACEH I,DPR,2,Gerindra,4,"ABDULLAH SALEH, SH",L,,,,
2019,ACEH,ACEH I,DPR,2,Gerindra,5,AINAL MARDHIAH,P,,,,
2019,ACEH,ACEH I,DPR,2,Gerindra,6,"Drs. H. SAYUTHI IS, MM",L,,,,
2019,ACEH,ACEH I,DPR,2,Gerindra,7,CUT MEUTIA ADRINA,P,,,,
2019,ACEH,ACEH I,DPR,3,PDIP,1,H. KARIMUN USMAN,L,,,,
2019,ACEH,ACEH I,DPR,3,PDIP,2,RAMOND DONY ADAM,L,,,,
2019,ACEH,ACEH I,DPR,3,PDIP,3,DWI LUHNUARI JUMWATI,P,,,,
2019,ACEH,ACEH I,DPR,3,PDIP,4,"MUSLAHUDDIN DAUD, S.Ag",L,,,,
2019,ACEH,ACEH I,DPR,3,PDIP,5,"TITI WIDYAWATI, S.P.",P,,,,
2019,ACEH,ACEH I,DPR,3,PDIP,6,NASRAN AB,L,,,,
2019,ACEH,ACEH I,DPR,3,PDIP,7,LIRA AMALIA,P,,,,
2019,ACEH,ACEH I,DPR,4,Golkar,1,ANDI HS,L,,,,
2019,ACEH,ACEH I,DPR,4,Golkar,2,"M. SALIM FAKHRY, M.M.",L,,,,
2019,ACEH,ACEH I,DPR,4,Golkar,3,CUT SRI MAINITA,P,,,,
2019,ACEH,ACEH I,DPR,4,Golkar,4,"Drs. H. SULAIMAN ABDA, M.Si",L,,,,
2019,ACEH,ACEH I,DPR,4,Golkar,5,Drs. H.T. ZULKARNAINI,L,,,,
2019,ACEH,ACEH I,DPR,4,Golkar,6,"NENI RUMIANTI DAULAY, S.E.",P,,,,
2019,ACEH,ACEH I,DPR,4,Golkar,7,"CUT NURMALAHAYATI U, S.E.",P,,,,
2019,ACEH,ACEH I,DPR,5,NasDem,1,"H ZAINI DJALIL, SH",L,,,,
2019,ACEH,ACEH I,DPR,5,NasDem,2,"TGK. ANWAR, S.PD., MM",L,,,,
2019,ACEH,ACEH I,DPR,5,NasDem,3,"Hj. DRA. MEDIATI HAFNI HANUM, SH., Mkn",P,,,,
2019,ACEH,ACEH I,DPR,5,NasDem,4,"DESI FITRIANI, S.Sos",P,,,,
2019,ACEH,ACEH I,DPR,5,NasDem,5,IRSAN SOSIAWAN,L,,,,
2019,ACEH,ACEH I,DPR,5,NasDem,6,"IR. JUFRI HASANUDDIN, MM",L,,,,
2019,ACEH,ACEH I,DPR,5,NasDem,7,"Dra. NURHUSNA RAZALI, M.Pd",P,,,,
2019,ACEH,ACEH I,DPR,6,Garuda,1,FACHRUDDIN N,L,,,,
2019,ACEH,ACEH I,DPR,6,Garuda,2,DJUNAIDI,L,,,,
2019,ACEH,ACEH I,DPR,6,Garuda,3,FITRI MULIANI,P,,,,
2019,ACEH,ACEH I,DPR,7,Berkarya,1,"NURCHALIS, SP., MSi.",L,,,,
2019,ACEH,ACEH I,DPR,7,Berkarya,2,"Dr. Ir. JAMIL ANSARI, SH, MM",L,,,,
2019,ACEH,ACEH I,DPR,7,Berkarya,3,"IRA HADIATI, SH",P,,,,
2019,ACEH,ACEH I,DPR,7,Berkarya,4,"H. JUNAIDI, SE",L,,,,
2019,ACEH,ACEH I,DPR,7,Berkarya,5,SUMIATI,P,,,,
2019,ACEH,ACEH I,DPR,7,Berkarya,6,DASLELIATI,P,,,,
2019,ACEH,ACEH I,DPR,7,Berkarya,7,"H. SAYED FUAD ZAKARIA, SE",L,,,,
