Year,Province name,District number,Election,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,"""Province name""",Total Valid votes in district,Invalid votes
2014,Aceh,1,DPR,1171092,834,103,"",,,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Nasional Demokrat,1,151121,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Kebangkitan Bangsa,2,92905,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Keadilan Sejahtera,3,105868,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Demokrasi Indonesia Perjuangan,4,35419,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Golongan Karya,5,140954,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Gerakan Indonesia Raya,6,184538,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Demokrat,7,209598,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Amanat Nasional,8,151996,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Persatuan Pembangunan,9,76785,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Hati Nurani Rakyat,10,43414,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Bulan Bintang,14,39988,Province name,,
2014,Aceh,1,DPR,1171092,834,103,Partai Keadilan dan Persatuan Indonesia,15,21767,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,"",,,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Nasional Demokrat,1,120453,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Kebangkitan Bangsa,2,44751,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Keadilan Sejahtera,3,73940,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Demokrasi Indonesia Perjuangan,4,110281,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Golongan Karya,5,91546,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Gerakan Indonesia Raya,6,181847,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Demokrat,7,142411,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Amanat Nasional,8,89200,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Persatuan Pembangunan,9,123946,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Hati Nurani Rakyat,10,44768,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Bulan Bintang,14,27518,Province name,,
2014,Aceh,2,DPR,1588085,1061873,140395,Partai Keadilan dan Persatuan Indonesia,15,11212,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,"",,,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Nasional Demokrat,1,60969,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Kebangkitan Bangsa,2,39281,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Keadilan Sejahtera,3,37090,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Demokrasi Indonesia Perjuangan,4,872885,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Golongan Karya,5,329620,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Gerakan Indonesia Raya,6,219521,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Demokrat,7,311246,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Amanat Nasional,8,23628,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Persatuan Pembangunan,9,15047,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Hati Nurani Rakyat,10,77247,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Bulan Bintang,14,3731,Province name,,
2014,Bali,1,DPR,2936235,2024250,285,Partai Keadilan dan Persatuan Indonesia,15,33985,Province name,,
2014,Bangka Belitung,1,DPR,211,127,20,"",,,Province name,,
2014,Bangka Belitung,1,DPR,211,127,20,Partai Nasional Demokrat,1,47763,Province name,,
2014,Bangka Belitung,1,DPR,211,127,20,Partai Kebangkitan Bangsa,2,22662,Province name,,
2014,Bangka Belitung,1,DPR,211,127,20,Partai Keadilan Sejahtera,3,41897,Province name,,
2014,Bangka Belitung,1,DPR,211,127,20,Partai Demokrasi Indonesia Perjuangan,4,137085,Province name,,
2014,Bangka Belitung,1,DPR,211,127,20,Partai Golongan Karya,5,71063,Province name,,
2014,Bangka Belitung,1,DPR,211,127,20,Partai Gerakan Indonesia Raya,6,37250,Province name,,
2014,Bangka Belitung,1,DPR,211,127,20,Partai Demokrat,7,62718,Province name,,
2014,Bangka Belitung,1,DPR,211,127,20,Partai Amanat Nasional,8,46306,Province name,,
2014,Bangka Belitung,1,DPR,211,127,20,Partai Persatuan Pembangunan,9,52370,Province name,,
