Year,Province name,District Number,Election,registered_voters,valid_votes,invalid_votes,"Candidate names, President and Vice President",Candidate pair number,Number of valid votes,Elected to the presidency,Percentage of valid votes,District number,Number of valid votes for each candidate pair,V12,Validation,V14,V15
2014,Aceh,,President & Vice President,3330719,2002599,58485,"",,,,,,,,,,
2014,Aceh,,President & Vice President,3330719,2002599,58485,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.54,,,,,,
2014,Aceh,,President & Vice President,3330719,2002599,58485,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.46,,,,,,
2014,Bali,,President & Vice President,2942282,2149351,17870,"",,,,,,,,,,
2014,Bali,,President & Vice President,2942282,2149351,17870,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.29,,,,,,
2014,Bali,,President & Vice President,2942282,2149351,17870,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.71,,,,,,
2014,Bangka Belitung,,President & Vice President,925058,613065,6109,"",,,,,,,,,,
2014,Bangka Belitung,,President & Vice President,925058,613065,6109,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.33,,,,,,
2014,Bangka Belitung,,President & Vice President,925058,613065,6109,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.67,,,,,,
2014,Banten,,President & Vice President,7985599,5591302,60165,"",,,,,,,,,,
2014,Banten,,President & Vice President,7985599,5591302,60165,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.57,,,,,,
2014,Banten,,President & Vice President,7985599,5591302,60165,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.43,,,,,,
2014,Bengkulu,,President & Vice President,1379067,956842,7150,"",,,,,,,,,,
2014,Bengkulu,,President & Vice President,1379067,956842,7150,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.45,,,,,,
2014,Bengkulu,,President & Vice President,1379067,956842,7150,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.55,,,,,,
2014,DI. Yogyakarta,,President & Vice President,2752275,2211591,33573,"",,,,,,,,,,
2014,DI. Yogyakarta,,President & Vice President,2752275,2211591,33573,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.44,,,,,,
2014,DI. Yogyakarta,,President & Vice President,2752275,2211591,33573,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.56,,,,,,
